id,arrival,deadline,Utilization,Profit
0.0,1.0,2.0,5.0,12.5
1.0,1.0,4.0,7.0,4.9
2.0,1.0,1.0,6.0,36.0
3.0,1.0,3.0,7.0,9.8
4.0,1.0,2.0,7.0,24.5
5.0,1.0,3.0,4.0,3.2
6.0,1.0,3.0,4.0,3.2
7.0,1.0,6.0,3.0,0.34615384615384615
8.0,1.0,4.0,7.0,4.9
9.0,1.0,2.0,6.0,18.0
10.0,1.0,1.0,6.0,36.0
11.0,1.0,3.0,7.0,9.8
12.0,1.0,6.0,4.0,0.6153846153846154
13.0,1.0,2.0,3.0,4.5
14.0,1.0,3.0,4.0,3.2
15.0,1.0,6.0,8.0,2.4615384615384617
16.0,1.0,1.0,4.0,16.0
17.0,1.0,1.0,7.0,49.0
18.0,1.0,6.0,8.0,2.4615384615384617
19.0,1.0,2.0,5.0,12.5
20.0,1.0,6.0,1.0,0.038461538461538464
21.0,1.0,5.0,7.0,2.8823529411764706
22.0,1.0,5.0,5.0,1.4705882352941178
23.0,1.0,3.0,4.0,3.2
24.0,1.0,1.0,7.0,49.0
25.0,1.0,6.0,4.0,0.6153846153846154
26.0,1.0,2.0,3.0,4.5
27.0,1.0,3.0,4.0,3.2
28.0,1.0,5.0,8.0,3.764705882352941
29.0,1.0,3.0,7.0,9.8
30.0,1.0,1.0,2.0,4.0
31.0,1.0,6.0,5.0,0.9615384615384616
32.0,1.0,2.0,6.0,18.0
33.0,1.0,6.0,9.0,3.1153846153846154
34.0,1.0,4.0,3.0,0.9
35.0,1.0,1.0,8.0,64.0
36.0,1.0,1.0,5.0,25.0
37.0,1.0,3.0,4.0,3.2
38.0,1.0,2.0,2.0,2.0
39.0,1.0,6.0,2.0,0.15384615384615385
40.0,1.0,3.0,6.0,7.2
41.0,2.0,6.0,3.0,0.5294117647058824
42.0,2.0,3.0,2.0,2.0
43.0,2.0,6.0,9.0,4.764705882352941
44.0,2.0,3.0,5.0,12.5
45.0,2.0,6.0,4.0,0.9411764705882353
46.0,2.0,2.0,6.0,36.0
47.0,2.0,3.0,8.0,32.0
48.0,2.0,4.0,7.0,9.8
49.0,2.0,4.0,8.0,12.8
50.0,2.0,2.0,6.0,36.0
51.0,2.0,3.0,4.0,8.0
52.0,2.0,6.0,5.0,1.4705882352941178
53.0,2.0,6.0,2.0,0.23529411764705882
54.0,2.0,6.0,8.0,3.764705882352941
55.0,2.0,2.0,4.0,16.0
56.0,2.0,6.0,8.0,3.764705882352941
57.0,2.0,3.0,9.0,40.5
58.0,2.0,3.0,5.0,12.5
59.0,2.0,6.0,5.0,1.4705882352941178
60.0,2.0,3.0,4.0,8.0
61.0,2.0,6.0,4.0,0.9411764705882353
62.0,2.0,7.0,3.0,0.34615384615384615
63.0,2.0,6.0,5.0,1.4705882352941178
64.0,2.0,2.0,2.0,4.0
65.0,2.0,6.0,8.0,3.764705882352941
66.0,2.0,4.0,2.0,0.8
67.0,2.0,2.0,6.0,36.0
68.0,3.0,6.0,9.0,8.1
69.0,3.0,4.0,5.0,12.5
70.0,3.0,3.0,5.0,25.0
71.0,3.0,5.0,2.0,0.8
72.0,3.0,5.0,4.0,3.2
73.0,3.0,3.0,4.0,16.0
74.0,3.0,5.0,3.0,1.8
75.0,3.0,4.0,4.0,8.0
76.0,3.0,4.0,7.0,24.5
77.0,3.0,5.0,2.0,0.8
78.0,3.0,7.0,1.0,0.058823529411764705
79.0,3.0,5.0,6.0,7.2
80.0,3.0,5.0,8.0,12.8
81.0,3.0,4.0,4.0,8.0
