id,arrival,deadline,Utilization,Profit
0.0,1.0,6.0,4.0,0.6153846153846154
1.0,1.0,5.0,4.0,0.9411764705882353
2.0,1.0,5.0,3.0,0.5294117647058824
3.0,1.0,5.0,3.0,0.5294117647058824
4.0,1.0,5.0,6.0,2.1176470588235294
5.0,1.0,5.0,1.0,0.058823529411764705
6.0,1.0,6.0,3.0,0.34615384615384615
7.0,1.0,3.0,3.0,1.8
8.0,1.0,6.0,1.0,0.038461538461538464
9.0,1.0,5.0,5.0,1.4705882352941178
10.0,1.0,6.0,3.0,0.34615384615384615
11.0,1.0,4.0,3.0,0.9
12.0,1.0,5.0,4.0,0.9411764705882353
13.0,1.0,5.0,3.0,0.5294117647058824
14.0,1.0,4.0,3.0,0.9
15.0,1.0,3.0,2.0,0.8
16.0,1.0,5.0,2.0,0.23529411764705882
17.0,1.0,4.0,1.0,0.1
18.0,1.0,6.0,9.0,3.1153846153846154
19.0,1.0,6.0,3.0,0.34615384615384615
20.0,1.0,6.0,2.0,0.15384615384615385
21.0,1.0,5.0,2.0,0.23529411764705882
22.0,1.0,4.0,2.0,0.4
23.0,1.0,5.0,1.0,0.058823529411764705
24.0,1.0,6.0,1.0,0.038461538461538464
25.0,1.0,6.0,6.0,1.3846153846153846
26.0,1.0,4.0,2.0,0.4
27.0,1.0,6.0,1.0,0.038461538461538464
28.0,1.0,6.0,3.0,0.34615384615384615
29.0,1.0,5.0,2.0,0.23529411764705882
30.0,1.0,2.0,4.0,8.0
31.0,1.0,6.0,5.0,0.9615384615384616
32.0,1.0,4.0,2.0,0.4
33.0,1.0,5.0,2.0,0.23529411764705882
34.0,1.0,2.0,4.0,8.0
35.0,1.0,6.0,6.0,1.3846153846153846
38.0,2.0,5.0,5.0,2.5
39.0,2.0,4.0,2.0,0.8
40.0,2.0,7.0,2.0,0.15384615384615385
41.0,2.0,7.0,3.0,0.34615384615384615
42.0,2.0,6.0,4.0,0.9411764705882353
43.0,2.0,7.0,4.0,0.6153846153846154
44.0,2.0,6.0,4.0,0.9411764705882353
45.0,2.0,5.0,1.0,0.1
46.0,2.0,6.0,2.0,0.23529411764705882
47.0,2.0,7.0,5.0,0.9615384615384616
48.0,2.0,6.0,9.0,4.764705882352941
49.0,2.0,5.0,1.0,0.1
50.0,2.0,6.0,1.0,0.058823529411764705
51.0,2.0,6.0,2.0,0.23529411764705882
52.0,2.0,5.0,3.0,0.9
53.0,2.0,5.0,3.0,0.9
54.0,2.0,7.0,3.0,0.34615384615384615
55.0,2.0,6.0,3.0,0.5294117647058824
56.0,2.0,6.0,4.0,0.9411764705882353
57.0,2.0,4.0,2.0,0.8
58.0,2.0,7.0,1.0,0.038461538461538464
59.0,2.0,6.0,3.0,0.5294117647058824
60.0,2.0,4.0,2.0,0.8
64.0,3.0,6.0,1.0,0.1
65.0,3.0,5.0,2.0,0.8
