id,arrival,deadline,Utilization,Profit
3749.0,1.0,3.0,8.0,12.8
3750.0,1.0,4.0,8.0,6.4
3758.0,4.0,9.0,2.0,0.15384615384615385
3759.0,5.0,8.0,5.0,2.5
3761.0,7.0,10.0,6.0,3.6
3762.0,8.0,12.0,7.0,2.8823529411764706
3763.0,8.0,11.0,4.0,1.6
3765.0,9.0,14.0,7.0,1.8846153846153846
3768.0,10.0,13.0,8.0,6.4
3770.0,11.0,15.0,6.0,2.1176470588235294
3772.0,12.0,16.0,8.0,3.764705882352941
3773.0,12.0,16.0,5.0,1.4705882352941178
3776.0,13.0,17.0,5.0,1.4705882352941178
3780.0,14.0,16.0,7.0,9.8
3784.0,15.0,20.0,7.0,1.8846153846153846
3785.0,15.0,17.0,3.0,1.8
3786.0,16.0,19.0,8.0,6.4
3790.0,17.0,20.0,7.0,4.9
3793.0,19.0,21.0,4.0,3.2
3795.0,20.0,22.0,4.0,3.2
3798.0,21.0,25.0,5.0,1.4705882352941178
3801.0,22.0,24.0,4.0,3.2
3802.0,22.0,27.0,6.0,1.3846153846153846
3804.0,23.0,27.0,5.0,1.4705882352941178
3806.0,24.0,27.0,8.0,6.4
3817.0,28.0,32.0,4.0,0.9411764705882353
3818.0,28.0,33.0,5.0,0.9615384615384616
3822.0,29.0,32.0,4.0,1.6
3823.0,29.0,31.0,5.0,5.0
3829.0,30.0,35.0,5.0,0.9615384615384616
3834.0,31.0,34.0,8.0,6.4
3837.0,33.0,38.0,5.0,0.9615384615384616
3840.0,34.0,38.0,8.0,3.764705882352941
3841.0,34.0,39.0,2.0,0.15384615384615385
3843.0,35.0,39.0,6.0,2.1176470588235294
3850.0,37.0,41.0,8.0,3.764705882352941
3851.0,37.0,41.0,4.0,0.9411764705882353
3854.0,38.0,40.0,8.0,12.8
3855.0,38.0,39.0,6.0,18.0
3856.0,38.0,42.0,6.0,2.1176470588235294
3859.0,39.0,43.0,5.0,1.4705882352941178
3860.0,39.0,42.0,4.0,1.6
3865.0,41.0,45.0,4.0,0.9411764705882353
3866.0,41.0,45.0,7.0,2.8823529411764706
3867.0,41.0,43.0,8.0,12.8
3870.0,42.0,47.0,6.0,1.3846153846153846
3871.0,42.0,44.0,9.0,16.2
3884.0,45.0,47.0,6.0,7.2
3885.0,45.0,47.0,6.0,7.2
3891.0,46.0,48.0,6.0,7.2
3892.0,46.0,48.0,7.0,9.8
3895.0,47.0,47.0,6.0,36.0
3896.0,47.0,50.0,3.0,0.9
3899.0,48.0,53.0,2.0,0.15384615384615385
3903.0,49.0,51.0,7.0,9.8
3904.0,49.0,52.0,6.0,3.6
3906.0,50.0,50.0,3.0,9.0
3910.0,51.0,54.0,3.0,0.9
3911.0,51.0,55.0,4.0,0.9411764705882353
3915.0,52.0,55.0,2.0,0.4
3918.0,53.0,58.0,7.0,1.8846153846153846
3924.0,55.0,56.0,4.0,8.0
3925.0,55.0,59.0,7.0,2.8823529411764706
3928.0,56.0,59.0,6.0,3.6
3931.0,57.0,62.0,9.0,3.1153846153846154
3935.0,58.0,61.0,7.0,4.9
3940.0,59.0,62.0,1.0,0.1
3949.0,61.0,65.0,3.0,0.5294117647058824
3950.0,61.0,66.0,9.0,3.1153846153846154
3951.0,61.0,66.0,3.0,0.34615384615384615
3952.0,61.0,64.0,6.0,3.6
3955.0,62.0,66.0,9.0,4.764705882352941
3956.0,62.0,66.0,4.0,0.9411764705882353
3960.0,63.0,66.0,8.0,6.4
3961.0,63.0,63.0,5.0,25.0
3965.0,64.0,66.0,4.0,3.2
3966.0,64.0,68.0,7.0,2.8823529411764706
3969.0,65.0,67.0,8.0,12.8
3970.0,65.0,70.0,3.0,0.34615384615384615
3971.0,65.0,69.0,6.0,2.1176470588235294
3974.0,66.0,68.0,7.0,9.8
3975.0,66.0,71.0,9.0,3.1153846153846154
3978.0,67.0,68.0,7.0,24.5
3979.0,67.0,71.0,2.0,0.23529411764705882
3983.0,68.0,72.0,3.0,0.5294117647058824
3985.0,69.0,74.0,7.0,1.8846153846153846
3986.0,69.0,73.0,4.0,0.9411764705882353
3987.0,69.0,70.0,8.0,32.0
3991.0,70.0,73.0,6.0,3.6
3992.0,70.0,73.0,7.0,4.9
3999.0,72.0,75.0,4.0,1.6
4000.0,72.0,76.0,6.0,2.1176470588235294
4001.0,72.0,76.0,9.0,4.764705882352941
4004.0,73.0,76.0,4.0,1.6
4009.0,74.0,79.0,8.0,2.4615384615384617
4011.0,75.0,80.0,5.0,0.9615384615384616
4012.0,75.0,77.0,8.0,12.8
4013.0,75.0,76.0,8.0,32.0
4019.0,77.0,79.0,7.0,9.8
4022.0,78.0,80.0,3.0,1.8
4023.0,78.0,82.0,5.0,1.4705882352941178
4025.0,79.0,84.0,6.0,1.3846153846153846
4026.0,79.0,80.0,4.0,8.0
4028.0,80.0,81.0,6.0,18.0
4031.0,81.0,85.0,7.0,2.8823529411764706
4032.0,81.0,83.0,1.0,0.2
4035.0,82.0,86.0,8.0,3.764705882352941
4036.0,82.0,85.0,1.0,0.1
4039.0,83.0,84.0,2.0,2.0
4044.0,84.0,88.0,5.0,1.4705882352941178
4048.0,85.0,88.0,4.0,1.6
4051.0,86.0,88.0,9.0,16.2
4054.0,88.0,90.0,7.0,9.8
4055.0,89.0,92.0,5.0,2.5
4056.0,89.0,90.0,3.0,4.5
4059.0,90.0,93.0,4.0,1.6
4066.0,92.0,96.0,4.0,0.6153846153846154
4072.0,94.0,96.0,9.0,4.764705882352941
4073.0,94.0,96.0,4.0,1.6
4076.0,95.0,96.0,7.0,1.8846153846153846
4077.0,95.0,96.0,2.0,0.4
4081.0,96.0,96.0,6.0,18.0
