id,arrival,deadline,Utilization,Profit
0.0,1.0,5.0,7.0,2.8823529411764706
1.0,1.0,3.0,3.0,1.8
2.0,1.0,4.0,8.0,6.4
3.0,1.0,6.0,8.0,2.4615384615384617
4.0,1.0,2.0,5.0,12.5
5.0,1.0,6.0,3.0,0.34615384615384615
6.0,1.0,2.0,8.0,32.0
7.0,1.0,6.0,7.0,1.8846153846153846
8.0,1.0,4.0,7.0,4.9
9.0,1.0,4.0,6.0,3.6
10.0,1.0,2.0,7.0,24.5
11.0,1.0,6.0,2.0,0.15384615384615385
12.0,1.0,3.0,7.0,9.8
13.0,1.0,5.0,5.0,1.4705882352941178
14.0,1.0,4.0,8.0,6.4
15.0,1.0,1.0,8.0,64.0
16.0,1.0,4.0,9.0,8.1
17.0,1.0,2.0,7.0,24.5
18.0,1.0,3.0,7.0,9.8
19.0,1.0,4.0,6.0,3.6
20.0,1.0,3.0,4.0,3.2
21.0,1.0,5.0,7.0,2.8823529411764706
22.0,1.0,2.0,3.0,4.5
23.0,1.0,6.0,3.0,0.34615384615384615
24.0,1.0,2.0,5.0,12.5
25.0,1.0,6.0,4.0,0.6153846153846154
26.0,1.0,3.0,1.0,0.2
27.0,1.0,5.0,6.0,2.1176470588235294
28.0,1.0,2.0,1.0,0.5
29.0,1.0,3.0,8.0,12.8
30.0,1.0,4.0,4.0,1.6
31.0,1.0,3.0,7.0,9.8
32.0,1.0,5.0,7.0,2.8823529411764706
33.0,1.0,4.0,7.0,4.9
34.0,1.0,2.0,5.0,12.5
35.0,1.0,3.0,1.0,0.2
36.0,1.0,3.0,8.0,12.8
37.0,1.0,4.0,6.0,3.6
38.0,1.0,6.0,9.0,3.1153846153846154
39.0,1.0,4.0,3.0,0.9
40.0,2.0,6.0,7.0,2.8823529411764706
41.0,2.0,4.0,7.0,9.8
42.0,2.0,2.0,6.0,36.0
43.0,2.0,4.0,9.0,16.2
44.0,2.0,4.0,5.0,5.0
45.0,2.0,4.0,8.0,12.8
46.0,2.0,2.0,3.0,9.0
47.0,2.0,6.0,8.0,3.764705882352941
48.0,2.0,4.0,4.0,3.2
49.0,2.0,7.0,3.0,0.34615384615384615
50.0,2.0,5.0,6.0,3.6
51.0,2.0,5.0,2.0,0.4
52.0,2.0,3.0,5.0,12.5
53.0,2.0,6.0,8.0,3.764705882352941
54.0,2.0,5.0,6.0,3.6
55.0,2.0,3.0,7.0,24.5
56.0,2.0,4.0,6.0,7.2
57.0,2.0,3.0,6.0,18.0
58.0,2.0,4.0,2.0,0.8
59.0,2.0,7.0,1.0,0.038461538461538464
60.0,2.0,4.0,9.0,16.2
61.0,2.0,5.0,7.0,4.9
62.0,2.0,4.0,4.0,3.2
63.0,2.0,5.0,1.0,0.1
64.0,2.0,5.0,5.0,2.5
65.0,2.0,4.0,5.0,5.0
66.0,2.0,6.0,2.0,0.23529411764705882
67.0,2.0,2.0,3.0,9.0
68.0,2.0,5.0,5.0,2.5
69.0,2.0,3.0,5.0,12.5
70.0,2.0,6.0,6.0,2.1176470588235294
71.0,2.0,5.0,5.0,2.5
72.0,2.0,6.0,4.0,0.9411764705882353
73.0,2.0,7.0,4.0,0.6153846153846154
74.0,3.0,6.0,4.0,1.6
75.0,3.0,5.0,4.0,3.2
76.0,3.0,7.0,4.0,0.9411764705882353
77.0,3.0,5.0,7.0,9.8
78.0,3.0,7.0,5.0,1.4705882352941178
79.0,3.0,6.0,2.0,0.4
80.0,3.0,3.0,5.0,25.0
81.0,3.0,4.0,1.0,0.5
82.0,3.0,6.0,4.0,1.6
83.0,3.0,3.0,6.0,36.0
84.0,3.0,5.0,5.0,5.0
85.0,3.0,5.0,3.0,1.8
86.0,3.0,3.0,3.0,9.0
87.0,3.0,5.0,8.0,12.8
88.0,3.0,3.0,6.0,36.0
89.0,3.0,3.0,8.0,64.0
90.0,3.0,7.0,6.0,2.1176470588235294
91.0,3.0,8.0,4.0,0.6153846153846154
92.0,3.0,4.0,7.0,24.5
93.0,3.0,4.0,1.0,0.5
94.0,3.0,5.0,5.0,5.0
95.0,3.0,6.0,6.0,3.6
96.0,3.0,6.0,2.0,0.4
97.0,3.0,3.0,5.0,25.0
98.0,3.0,5.0,2.0,0.8
99.0,3.0,5.0,6.0,7.2
100.0,3.0,6.0,6.0,3.6
101.0,3.0,3.0,4.0,16.0
102.0,3.0,5.0,7.0,9.8
103.0,3.0,6.0,1.0,0.1
104.0,3.0,5.0,4.0,3.2
